ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
20001,Miley Cyrus Inks Inner Lip with a Sad Kitten: What Does this Mean?,http://au.ibtimes.com/articles/543703/20140318/miley-cyrus-tattoos-here-inner-lip-sad.htm,International Business Times AU,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,au.ibtimes.com,1395167674311
20002,Miley Cyrus to record Beatles cover,http://au.news.yahoo.com/entertainment/a/22035522/miley-cyrus-to-record-beatles-cover/,Yahoo\!7 News,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,au.news.yahoo.com,1395167674488
20003,"The Flaming Lips To Record 'Sgt. Pepper's' Cover Record With Miley Cyrus, MGMT",http://www.underthegunreview.net/2014/03/17/the-flaming-lips-to-record-sgt-peppers-cover-record-with-miley-cyrus-mgmt/,Under the Gun Review,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.underthegunreview.net,1395167674707
20004,Miley Cyrus Gets Lip Tattoo Of Sad Kitty,http://www.rttnews.com/2287137/miley-cyrus-gets-lip-tattoo-of-sad-kitty.aspx\?type=ent&amp;utm_source=google&amp;utm_campaign=sitemap,RTT News,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.rttnews.com,1395167674882
20005,Miley in the Sky with Diamonds,http://www.celebuzz.com/2014-03-17/miley-in-the-sky-with-diamonds/,Celebuzz,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.celebuzz.com,1395167675050
20006,Miley Cyrus to collabortate with Flaming Lips for Beatles' cover,http://entertainment.ofwnow.com/celebrity-news/miley-cyrus-to-collabortate-with-flaming-lips-for-beatles-cover/5099,OFW News On Web,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,entertainment.ofwnow.com,1395167675387
20007,Miley Cyrus Is Covering The Beatles With Wayne Coyne,http://theblemish.com/2014/03/miley-cyrus-covering-beatles-wayne-coyne/,The Blemish,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,theblemish.com,1395167675545
20008,Miley Cyrus reveals inside look at 'Bangerz' tour with new video,http://www.hitfix.com/news/miley-cyrus-reveals-inside-look-at-bangerz-tour-with-new-video,HitFix,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.hitfix.com,1395167675731
20009,Did Miley Cyrus just tattoo her lip?,http://marquee.blogs.cnn.com/2014/03/17/did-miley-cyrus-just-tattoo-her-lip/,CNN \(blog\),e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,marquee.blogs.cnn.com,1395167675932
20010,Miley Cyrus Lip Tattoo - Sad Kitty,http://www.nationalledger.com/pop-culture-news/miley-cyrus-gets-cat-tattoo-on-248454.shtml,National Ledger,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.nationalledger.com,1395167676125
20011,"Miley Cyrus Rolls Joint With Flaming Lips' Wayne Coyne, Records Beatles Cover",http://blog.sfgate.com/smellthetruth/2014/03/17/miley-cyrus-rolls-joint-with-flaming-lips-wayne-coyne-records-beatles-cover/,San Francisco Chronicle \(blog\),e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,blog.sfgate.com,1395167676369
20012,Guess the owner of this inner-lip ink...,http://www.stuff.co.nz/southland-times/life-style/9839695/Guess-the-owner-of-this-inner-lip-ink,The Southland Times,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.stuff.co.nz,1395167676537
20013,Miley Cyrus Records Beatles Cover for Flaming Lips 'Sgt. Pepper' Tribute Album,http://ultimateclassicrock.com/miley-cyrus-beatles-flaming-lips/,Ultimate Classic Rock,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,ultimateclassicrock.com,1395167676705
20014,Miley has kitty tattooed on lip,http://www.yourlocalguardian.co.uk/leisure/showbiz/11081967.Miley_has_kitty_tattooed_on_lip/,Your Local Guardian,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.yourlocalguardian.co.uk,1395167676891
20015,Liam Hemsworth and Miley Cyrus Breakup News: 'Adore You' Singer's Twitter  ...,http://www.fashionnstyle.com/articles/17469/20140317/liam-hemsworth-and-miley-cyrus-breakup-news-adore-you-singer-s-twitter-picture-of-new-tattoo-a-symbol-of-past-relationship-with-mockingjay-actor.htm,Fashion \& Style,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.fashionnstyle.com,1395167677057
20016,Miley Cyrus' tongue twisted over lawsuit!,http://www.hlntv.com/video/2014/03/17/miley-cyrus-tongue-twisted-over-lawsuit,HLNtv.com,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.hlntv.com,1395167677336
20017,Miley Cyrus teams with Wayne Coyne for Beatles cover,http://www.fox23.com/entertainment/story/Miley-Cyrus-teams-with-Wayne-Coyne-for-Beatles/no-jwCyemkCs27b4CeNqRQ.cspx,KOKI FOX 23,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.fox23.com,1395167677520
20018,"Watch Flaming Lips, Miley Cyrus Get Pelted With Bras Onstage",http://www.rollingstone.com/music/news/watch-flaming-lips-miley-cyrus-get-pelted-with-bras-onstage-20140317,RollingStone.com,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.rollingstone.com,1395167677696
20019,"Miley Cyrus news: a lip tattoo, a Beatles cover, a giant hot dog and so much more",http://www.nola.com/music/index.ssf/2014/03/miley_cyrus_news_a_lip_tattoo.html,The Times-Picayune,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.nola.com,1395167677889
20020,"Miley Cyrus Gets 'High as F*ck,' Records Beatles Cover With Flaming Lips  ...",http://www.styleite.com/news/miley-cyrus-and-the-flaming-lips-get-high-record-beatles-cover/,Styleite,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.styleite.com,1395167678100
20021,Miley Cyrus hits studio with Flaming Lips to record Beatles cover,http://music.msn.com/music/article.aspx\?news=857475,Reverb MSN Music \(blog\),e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,music.msn.com,1395167678401
20022,Flaming Lips' Wayne Coyne posts picture of Miley Cyrus rolling joint with  ...,http://thecelebritycafe.com/feature/2014/03/flaming-lips-wayne-coyne-posts-picture-miley-cyrus-rolling-joint-bangerz-rolling-pap,TheCelebrityCafe.com,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,thecelebritycafe.com,1395167681762
20023,Miley Cyrus gets a sad kitty lip tattoo,http://www.parentherald.com/articles/4225/20140317/miley-cyrus-gets-sad-kitty-lip-tattoo.htm,Parent Herald,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.parentherald.com,1395167681939
20024,10 Celebrity Tattoos We Don't Understand,http://www.sofeminine.co.uk/news-celebrities/10-celebrity-tattoos-we-just-don-t-understand-s337814.html,soFeminine.co.uk,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.sofeminine.co.uk,1395167682147
20025,"Wayne Coyne and Miley Cyrus got high, recorded a cover of ""Lucy In The Sky  ...",http://www.avclub.com/article/wayne-coyne-and-miley-cyrus-got-high-recorded-cove-202271,A.V. Club,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.avclub.com,1395167682349
20026,How Does Miley Cyrus' New Lip Tattoo Measure Up To These Other Celebs With  ...,http://www.vh1.com/music/tuner/2014-03-17/miley-cyrus-lip-tattoo/,VH1,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.vh1.com,1395167682534
20027,Miley Cyrus Gets 'High As F—' With New Bangerz BFF Wayne Coyne,http://emag.co.uk/miley-cyrus-gets-high-as-f-with-new-bangerz-bff-wayne-coyne/85810,Emag.co.uk,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,emag.co.uk,1395167682769
20028,Twerking And Toking: Miley Cyrus' Many Talents Include Rolling Joints,http://www.vh1.com/celebrity/2014-03-17/miley-cyrus-joint-instagram/,VH1,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.vh1.com,1395167682937
20029,"Miley, MGMT and Flaming Lips cover Beatles",http://www.3news.co.nz/Miley-MGMT-and-Flaming-Lips-cover-Beatles/tabid/418/articleID/336300/Default.aspx,3News NZ,e,dfanD-wFxAP2_XM8C2iej3W9oCZgM,www.3news.co.nz,1395167683115
