url,type
trimarc.org/perl/home.pl,benign
http://1337x.to/torrent/1059880/American-Sniper-2014-MULTi-SUBS-DVDSCR-H264-AC3-5-1CH-BLiTZCRiEG/,benign
zoominfo.com/people/Reedie_Craig_10436765.aspx,benign
screenit.com/ourtake/1999/plunkett_and_macleane.html,benign
pitchfork.com/reviews/albums/15978-unto-the-locust/,benign
whoulookingfor.com/People/Edward-Delisle.aspx,benign
boards.straightdope.com/sdmb/showthread.php?t=600075&goto=newpost,benign
answers.yahoo.com/question/index?qid=20090813203034AADArYA,benign
mickmusicpage.net/eng/01_bozak/pack.htm,benign
http://en.mmweb.asia/login/en/index.htm,phishing
westwarwickri.org/,benign
http://kakaku.com/kaden/av-selector/ranking_2072/pricedown/div-gpt-ad-k/header_text,benign
cheaptaxiwolverhampton.co.uk/,benign
scribd.com/,benign
texassports.com/sports/w-soccer/stats/2007-2008/utscgm13.html,benign
nme.com/artists/ghislain-poirier,benign
http://ciclomappe.it/sejeal.jpg,defacement
etf.stock-encyclopedia.com/category/s&p-500.html,benign
users.mo-net.com/nixit/hockeyliterature.html,benign
celebarazzi.com/nude_pictures.php/7067/,benign
prnewswire.com/news-releases/3ality-digital-expands-global-reach-with-imagica-corp-in-japan-62267167.html,benign
mishalov.com/Ballard.html,benign
sympatico.ca/scott.naylor/Graves/NewIndex/GraveMarker1.HTM,benign
onlinebiographies.info/ny/erie/m-y/schick-j.htm,benign
http://otomoto.pl/maszyny-rolnicze/cthFLQcE2ThXqvCIWmXC_IXCPzJdCiMYobd26gNQ8Ab.g7/cthFLQcE2ThXqvCIWmXC_IXCPzJdCiMYobd26gNQ8Ab.g7,benign
onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1467-9493.1994.tb00245.x,benign
coolbus.am,phishing
songlyrics.com/anastacia/left-outside-alone-lyrics/,benign
http://9779.info/%E5%86%B0%E6%B7%87%E6%B7%8B%E5%84%BF%E7%AB%A5%E7%94%BB/,malware
profilecanada.com/companydetail.cfm?company=2597391_Ecole_Napoleon-bourassa_Saint-Jean-Sur-Richelieu_QC,benign
