url,type
www.albion.com/netiquette/,phishing
www.anu.edu.au/people/Roger.Clarke/II/Netethiquettecases,phishing
www.albury.net.au/new-users/netiquet.htm,phishing
www.the-eggman.com/writings/etiquitte_1.html,phishing
www.penmachine.com/techie/emailtrouble_2003-07.html,phishing
www.yeawedo.com/netiquette.htm,phishing
courses.cs.vt.edu/~cs3604/lib/Netiquette/Rinaldi/,phishing
tools.ietf.org/html/rfc1855,phishing
www.mikeash.com/getting_answers.html,phishing
catb.org/esr/faqs/smart-questions.html,phishing
www.slash7.com/pages/vampires,phishing
www.martinibuster.net/2006/06/growing-forum-participation.html,phishing
www.bspage.com/1netiq/Netiq.html,phishing
realtytimes.com/rtnews/rtapages/19981231_emailnonos.htm,phishing
www.dynamoo.com/technical/etiquette.htm,phishing
www.iwillfollow.com/email.htm,phishing
www.askmen.com/fashion/how_to/1_how_to.html,phishing
www.virtualsalt.com/warning.htm,phishing
www.georgedillon.com/web/netiquette.shtml,phishing
lowendmac.com/lists/netiquette.shtml,phishing
www.rand.org/pubs/reports/R3283/index.html,phishing
brawl-hall.com/pages/articles.php,phishing
www.velvet.com/barb/humor/flaming.html,phishing
en.wikipedia.org/wiki/Flame_war,phishing
redwing.hutman.net/~mreed/,phishing
www.caliburn.nl/topposting.html,phishing
www.december.com/web/text/,phishing
www.snowhawk.com/newbie.html,phishing
www.learnthenet.com/english/index.html,phishing
navigators.com/internet_architecture.html,phishing
members.tripod.com/~smanage/netguide.html,phishing
www.surflocal.net/netshack,phishing
www.cs.indiana.edu/docproject/zen/zen-1.0_1.html,phishing
www.oii.org/cyberu/,phishing
www.tizag.com/beginnerT/,phishing
www.gyre.co.uk/help/broadband/connection_sharing.php,phishing
www.boutell.com/newfaq/,phishing
pandora.nla.gov.au/pan/20690/20060620-0000/www.sofweb.vic.edu.au/STUDENTS/TEENS/index-2.html,phishing
www.savetz.com/fax/,phishing
www.domainfellow.com/help.asp,phishing
www.learnthenet.com/english/animate/animate.htm,phishing
www.angelfire.com/pa4/newbieweb/,phishing
www.newbieclub.com/home/mineralmagic/,phishing
newbie.net/SmileyFAQ/index.html,phishing
www.aarp.org/learntech/computers/basic_web/,phishing
www.bbc.co.uk/webwise/,phishing
en.wikipedia.org/wiki/File_sharing,phishing
en.wikipedia.org/wiki/BitTorrent,phishing
memex.org/community-memory.html,phishing
www.walthowe.com/navnet/history.html,phishing
www.let.leidenuniv.nl/history/ivh/frame_theorie.html,phishing
www.yourhtmlsource.com/starthere/historyofthenet.html,phishing
www.columbia.edu/~hauben/netbook/,phishing
www.vissing.dk/inthist.html,phishing
www.snowplow.org/tom/worm/worm.html,phishing
ben.home.cern.ch/ben/TCPHIST.html,phishing
ftp.arl.mil/~mike/ping.html,phishing
www.paulgraham.com/bubble.html,phishing
www.isoc.org/internet/history/brief.shtml,phishing
www.isoc.org/internet/history/,phishing
www.zeltser.com/web-history/,phishing
tech.groups.yahoo.com/group/80sBBS/,phishing
www.vcn.bc.ca/web-prophet/,phishing
www.nytimes.com/1993/02/28/business/the-executive-computer-a-web-of-networks-an-abundance-of-services.html,phishing
searchenginewatch.com/article/2064538/Search-Engine-Birthdays,phishing
www.disobey.com/ghostsites/,phishing
www.theregister.co.uk/2004/07/09/archive_yeahright_org/,phishing
www.theregister.co.uk/2004/06/24/web_archive_british/,phishing
www.theregister.co.uk/2004/05/04/web_historical_record/,phishing
www.theregister.co.uk/2003/09/15/google_the_only_archive_well/,phishing
www.firstmonday.org/issues/issue9_10/wouters/,phishing
lcweb2.loc.gov/cocoon/minerva/html/minerva-home.html,phishing
